Comp_BinY,n,power_wh_empirical_dist,power_wh_naive_dist,power_wh_VCO1,power_wh_VCO2,power_wh_VCO3,power_wh_VCO4,power_wh_VCO5,power_wh_VCO6,power_wh_VCO7,power_wh_VCO8,power_wh_VCO9,scena
4,500,0.2516918540975784,0.3321485503491154,0.3270464021404784,0.30020402063764695,0.30111429061991035,0.3162821793864192,0.30415841337630256,0.3170533429134278,0.3172241306175889,0.3230696171113693,0.3181372623549117,14
2,1000,0.451355969927089,0.5728476811247414,0.5448287429363178,0.5291471955667925,0.5303444210078218,0.5478629160390849,0.5340247799079141,0.549912394438551,0.5499934998241588,0.552463105105039,0.5503834209500963,14
3,1000,0.45568386048542525,0.5808437065135236,0.5762428781007456,0.536328391124613,0.5379165253899826,0.5611840097931983,0.5426198743631973,0.5621792584082941,0.5627737046057832,0.570981497345451,0.5638241560327656,14
4,1000,0.44721951810721894,0.5793565849611634,0.5715389717201633,0.5291319753322976,0.5306049089284148,0.5547899113344594,0.5355130740344418,0.5560013352394932,0.5562693870023545,0.5653914654855392,0.5577010764009973,14
2,500,0.2521209057566085,0.27263214695852717,0.26010951454679876,0.25779338576713917,0.25681757298844615,0.2425527388324286,0.2587027023643955,0.2651708052387973,0.265072325288054,0.2614075202891,0.2650821132910158,15
3,500,0.2553401771968917,0.343018980929233,0.2520006281215571,0.25554283417794976,0.2555469565553978,0.2559632530359479,0.25556418631513955,0.254489298761871,0.25448822913710595,0.25509763303040556,0.25452406966392915,15
4,500,0.2055503551951127,0.3437130173272883,0.20475394158821528,0.20561202580610288,0.20555600279587513,0.2055900028738526,0.2056093872792193,0.20546129945684877,0.2052700089911606,0.20557565051605317,0.2054726402604933,15
2,1000,0.4479724087234328,0.4833850602458899,0.4619008206797504,0.4578802198276386,0.4561819591867102,0.4310675778390038,0.45946044394923263,0.47063605679886444,0.47046675914077507,0.4641476937769427,0.47048358696492765,15
3,1000,0.4536058974838541,0.5957506316601812,0.44776139735035386,0.45395960671404034,0.4539668006021277,0.4546930377544521,0.4539968674588825,0.4521196098097731,0.4521177402050861,0.4531824262598463,0.45218038445108466,15
4,1000,0.36355481350670305,0.596785184772483,0.36206699644826185,0.36366996638268334,0.3635653591856981,0.3636288455636063,0.3636650398282609,0.3633885120088737,0.3630312410937002,0.3636020465399533,0.363409690622242,15
2,500,0.11132617801678255,0.2921376001502465,0.1419478843975586,0.11299205753791455,0.11411659779429215,0.13692372719129928,0.13118279891405424,0.12812445487087773,0.12868079982065486,0.139513900408294,0.13648805810423026,16
3,500,0.11094593987187619,0.2906324196472999,0.14202693603379915,0.11262515844001292,0.11375579148019951,0.13681346294443028,0.13095075665864597,0.1278363797417781,0.1284052825155791,0.13948898155570677,0.13636523497123154,16
4,500,0.11099596573770211,0.2908246069507443,0.14210522638048179,0.11267620275130305,0.11380687778827867,0.136886815856878,0.13101864305994498,0.12790134782834106,0.12846958805387512,0.13956487762514802,0.13643820470570703,16
2,1000,0.1809497580153488,0.5159740623598963,0.24121954924975259,0.18422429203320825,0.18643576440453924,0.23134346269672265,0.22004360613110724,0.21401991323767192,0.2151158104680156,0.2364368626893232,0.23048640821115593,16
3,1000,0.18020262051678768,0.5134979468553522,0.24137481841018688,0.18350293532545373,0.185726135006445,0.23112655794441372,0.2195866465548231,0.2134524424647406,0.2145730973837707,0.23638787918851237,0.2302447724261811,16
