Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,C1-Gaus-HC,D1-Clay-HC,D1-Fran-HC,D1-Gaus-LC,C1-Gaus-LC,D1-Clay-LC,D1-Fran-LC,CD-0,Naive
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,Moderate,0.3593787445972985,0.33735391889902877,0.33845139598531226,0.3547418960466812,0.34171219460537106,0.3554478519874388,0.3558698780700675,0.3617256373599864,0.3566163228960877,0.36550795715223705,0.3688342155057861
Rank 1,D2-HC,HC,D2,Moderate,0.2304879465697457,0.2533044797340823,0.25411341452810654,0.26616185149007277,0.2565189140029318,0.2666857602825392,0.26699902984565027,0.2713514290118537,0.2675532487427712,0.2741684185340982,0.2766495189596468
Rank 1,D2-LC,LC,D2,Moderate,0.35735070619136367,0.33645987272006234,0.33755447926549964,0.3538030732951041,0.34080678372001605,0.3545072436515142,0.35492820352957377,0.3607692647524544,0.3556727648031972,0.36454218702146673,0.36786024425546326
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,High,0.18576811318691788,0.18600774487275193,0.1859583149327659,0.18598831369242785,0.186005416857672,0.1858747570981259,0.185705980633579,0.18597565039325123,0.18588476319598188,0.18525066053520944,0.3087274648592441
Rank 2,C1-Gaussian-LC,LC,C1-Gaussian,High,0.1930029048989443,0.1934097337000845,0.19335780761490395,0.19338932127730263,0.19340728812449776,0.1932700301101824,0.19309273000636845,0.19337601849835495,0.1932805415233401,0.19261441224999304,0.32200655398152284
Rank 2,D1-Clayton-HC,HC,D1-Clayton,High,0.2055503551951127,0.20561202580610288,0.20555600279587513,0.2055900028738526,0.2056093872792193,0.20546129945684877,0.2052700089911606,0.20557565051605317,0.2054726402604933,0.20475394158821528,0.3437130173272883
Rank 2,D1-Clayton-LC,LC,D1-Clayton,High,0.19741017231280625,0.19784698088425545,0.19779356212184737,0.1978259816863816,0.19784446500849892,0.19770326126549695,0.1975208639762824,0.19781229650299492,0.1977140748571143,0.19702879301166956,0.32992741928909597
Rank 2,D1-Frank-HC,HC,D1-Frank,High,0.19529123509086951,0.1954555956706624,0.1954029809887808,0.19543491255872916,0.19545311766442677,0.1953140394219864,0.1951343879126388,0.1954214333702912,0.1953246902347356,0.1946497256473377,0.32566238510904155
Rank 2,D1-Frank-LC,LC,D1-Frank,High,0.1958274777269561,0.1961047508617569,0.19605191781896408,0.19608398191161555,0.1961022625714438,0.19596260711579228,0.1957822099484865,0.1960704467819598,0.19597330213366623,0.19529553574966244,0.32682103701733567
Rank 2,D1-Gaussian-HC,HC,D1-Gaussian,High,0.1861428866745164,0.18636805818871716,0.1863185065844964,0.18634857918175704,0.18636572444362973,0.18623474308043303,0.1860655511716052,0.18633588471379595,0.18624477380762253,0.18560911018407433,0.30937569779886787
Rank 2,D1-Gaussian-LC,LC,D1-Gaussian,High,0.192774790452263,0.19305157562249148,0.19299977014935857,0.19303121061263495,0.1930491357273402,0.19291219653712785,0.1927353082949841,0.1930179387329195,0.19292268353362704,0.19225810180649056,0.32136588965454277
Rank 2,D2-HC,HC,D2,High,0.2010797621845755,0.20122160427393848,0.20116705241784347,0.20120015965465785,0.20121903503330585,0.2010748360714845,0.20088856944374095,0.20118618418742237,0.2010858790490654,0.2003860579950671,0.33593061886835085
Rank 2,D2-LC,LC,D2,High,0.1972145691714888,0.19765045557140049,0.19759710285450124,0.19762948233616276,0.1976479428061664,0.197506913647538,0.197324741891922,0.19761581407277487,0.1975177138688068,0.1968332794690757,0.3295772552124533
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,Low,0.08305625739848138,0.10060395610258116,0.10155411405397556,0.12090304756649815,0.11599052163056033,0.1133792028537798,0.11385530521323992,0.12314376598355677,0.12052762729625972,0.12526864139512203,0.2498984877378868
