Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,C1-Gaus-HC,D1-Clay-HC,D1-Fran-HC,D1-Gaus-LC,C1-Gaus-LC,D1-Clay-LC,D1-Fran-LC,CD-0,Naive
Rank 1,D2-HC,HC,D2,Moderate,23,25.3,25.4,26.6,25.7,26.7,26.7,27.1,26.8,27.4,27.7
Rank 1,D2-LC,LC,D2,Moderate,35.7,33.6,33.8,35.4,34.1,35.5,35.5,36.1,35.6,36.5,36.8
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,High,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.5,30.9
Rank 2,C1-Gaussian-LC,LC,C1-Gaussian,High,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,32.2
Rank 2,D1-Clayton-HC,HC,D1-Clayton,High,20.6,20.6,20.6,20.6,20.6,20.5,20.5,20.6,20.5,20.5,34.4
Rank 2,D1-Clayton-LC,LC,D1-Clayton,High,19.7,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.7,33
Rank 2,D1-Frank-HC,HC,D1-Frank,High,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,32.6
Rank 2,D1-Frank-LC,LC,D1-Frank,High,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.6,19.5,32.7
Rank 2,D1-Gaussian-HC,HC,D1-Gaussian,High,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,30.9
Rank 2,D1-Gaussian-LC,LC,D1-Gaussian,High,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.2,32.1
Rank 2,D2-HC,HC,D2,High,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20,33.6
Rank 2,D2-LC,LC,D2,High,19.7,19.8,19.8,19.8,19.8,19.8,19.7,19.8,19.8,19.7,33
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,Low,8.3,10.1,10.2,12.1,11.6,11.3,11.4,12.3,12.1,12.5,25
Rank 2,C1-Gaussian-LC,LC,C1-Gaussian,Low,12.8,10.9,11,13.2,12.7,12.4,12.4,13.5,13.2,13.7,28
Rank 2,D1-Clayton-HC,HC,D1-Clayton,Low,7.4,11.2,11.3,13.6,13.1,12.7,12.8,13.9,13.6,14.2,29
Rank 2,D1-Clayton-LC,LC,D1-Clayton,Low,11.1,11.3,11.4,13.7,13.1,12.8,12.8,14,13.6,14.2,29.1
Rank 2,D1-Frank-HC,HC,D1-Frank,Low,8.6,8.6,8.6,10.1,9.7,9.5,9.6,10.3,10.1,10.4,19.9
Rank 2,D1-Frank-LC,LC,D1-Frank,Low,13.5,11.1,11.2,13.4,12.8,12.5,12.6,13.7,13.4,13.9,28.4
Rank 2,D1-Gaussian-HC,HC,D1-Gaussian,Low,8.4,10.1,10.1,12.1,11.6,11.3,11.4,12.3,12,12.5,25
Rank 2,D1-Gaussian-LC,LC,D1-Gaussian,Low,12.7,10.9,11,13.2,12.7,12.4,12.4,13.5,13.2,13.7,27.9
Rank 2,D2-HC,HC,D2,Low,8.3,9.5,9.6,11.4,10.9,10.7,10.7,11.6,11.3,11.8,23.1
Rank 2,D2-LC,LC,D2,Low,12.5,11.1,11.2,13.5,12.9,12.6,12.6,13.7,13.4,14,28.5
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,Moderate,24,26.3,26.4,27.7,26.6,27.7,27.8,28.3,27.8,28.6,29.1
Rank 2,C1-Gaussian-LC,LC,C1-Gaussian,Moderate,35.9,33.6,33.7,35.4,34,35.5,35.5,36.1,35.6,36.6,37.2
Rank 2,D1-Clayton-HC,HC,D1-Clayton,Moderate,25.2,30,30.1,31.6,30.4,31.7,31.7,32.3,31.8,32.7,33.2
Rank 2,D1-Clayton-LC,LC,D1-Clayton,Moderate,38.2,36.4,36.5,38.3,36.9,38.4,38.4,39.1,38.5,39.6,40.2
Rank 2,D1-Frank-HC,HC,D1-Frank,Moderate,20.7,22.3,22.4,23.5,22.6,23.6,23.6,24,23.6,24.3,24.6
Rank 2,D1-Frank-LC,LC,D1-Frank,Moderate,33.4,31.2,31.3,32.8,31.6,32.9,32.9,33.5,33,34,34.5
Rank 2,D1-Gaussian-HC,HC,D1-Gaussian,Moderate,24.1,26.3,26.4,27.7,26.7,27.8,27.8,28.3,27.9,28.7,29.1
Rank 2,D1-Gaussian-LC,LC,D1-Gaussian,Moderate,35.5,33.2,33.3,35,33.6,35.1,35.1,35.7,35.2,36.2,36.7
Rank 2,D2-HC,HC,D2,Moderate,23.4,25.7,25.8,27.1,26.1,27.2,27.2,27.7,27.2,28,28.4
Rank 2,D2-LC,LC,D2,Moderate,37.1,34.7,34.8,36.6,35.2,36.7,36.7,37.4,36.8,37.8,38.4
